,DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem,Quan
232,"Đường Quốc lộ 1A, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",1.55,An Gia Star,65.0,Chưa bàn giao,23.85,2.0,2.0,,,,,,, Quận Bình Tân
233,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.9,Saigon Riverside Complex Q7,53.0,Đã bàn giao,35.85,1.0,1.0,,,,,,, Quận 7
234,"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",2.6,Diamond Riverside (City Gate Towers 2),73.0,Đã bàn giao,35.62,2.0,,20.0,,Nội thất cao cấp,,Đông Bắc,, Quận 8
235,"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",2.1,City Garden,70.0,Đã bàn giao,30.0,2.0,,,Đã có sổ,,,,, Quận Bình Thạnh
236,"Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",4.0,Docklands Sài Gòn,106.0,Đã bàn giao,37.74,3.0,,,Đã có sổ,Nội thất đầy đủ,,,Căn góc, Quận 7
237,"Đường Xa lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.9,Saigon Gateway,68.0,Đã bàn giao,27.94,2.0,2.0,,,,,,, Thành phố Thủ Đức
238,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",2.91,Akari City,75.0,Đã bàn giao,38.8,2.0,2.0,,,,,,, Quận Bình Tân
239,"16, Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",1.75,Melody Residences,1.0,Đã bàn giao,1750.0,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,, Quận Tân Phú
240,"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",1.95,Green Town Bình Tân,63.0,Đã bàn giao,30.95,2.0,2.0,,,,,,, Quận Bình Tân
241,"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",3.72,Eco Green Sài Gòn,72.0,Đã bàn giao,51.67,2.0,2.0,,,,,,, Quận 7
242,"Số 99, Số 99 Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",7.0,Cosmo City,123.0,Chưa bàn giao,56.91,3.0,2.0,19.0,Đã có sổ,Nội thất cao cấp,Đông,,, Quận 7
243,"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",1.74,Topaz City,1.0,Đã bàn giao,1740.0,2.0,2.0,,,,,,, Quận 8
244,"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.05,Lexington Residence,48.5,Đã bàn giao,42.27,1.0,1.0,,,,,,, Thành phố Thủ Đức
245,"Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",1.64,Chung cư 1050 Chu Văn An,69.0,Đã bàn giao,23.77,2.0,2.0,,Đã có sổ,,,,, Quận Bình Thạnh
246,"Đường Tạ Quang Bửu, Phường 6, Quận 8, TP.HCM, Phường 6, Quận 8, Tp Hồ Chí Minh",2.55,The Pegasuite,60.0,Đã bàn giao,42.5,2.0,1.0,,,,,,, Quận 8
247,"Đường Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.3,The Sun Avenue,56.0,Đã bàn giao,58.93,2.0,,,,,,,, Thành phố Thủ Đức
248,"50, Phan Văn Khỏe, Phường 2, Quận 6, Tp Hồ Chí Minh",1.52,Lucky Palace,62.0,Đã bàn giao,24.52,2.0,2.0,,,,,,, Quận 6
249,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.55,Saigon Riverside Complex Q7,67.0,Đã bàn giao,38.06,2.0,,,,,,,, Quận 7
250,"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.9,Opal Riverside,71.0,Đã bàn giao,26.76,2.0,2.0,16.0,Đã có sổ,Nội thất cao cấp,,,, Thành phố Thủ Đức
251,"Xa Lộ Hà Nội, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.1,Masteri Thảo Điền,63.0,Đã bàn giao,49.21,2.0,2.0,17.0,,,Đông Nam,Tây Bắc,, Thành phố Thủ Đức
252,"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",4.99,Golden Mansion,86.0,Đã bàn giao,58.02,3.0,2.0,,,Nội thất đầy đủ,Bắc,Nam,Căn góc, Quận Phú Nhuận
253,"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.27,Lavita Charm,68.0,Đã bàn giao,18.68,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Thành phố Thủ Đức
254,"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",2.35,Tara Residence,68.0,Chưa bàn giao,34.56,2.0,2.0,18.0,,,,,, Quận 8
255,"192, An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh",1.78,Heaven Riverview (Heaven CityView),63.0,Đã bàn giao,28.25,2.0,1.0,,,,,,, Quận 8
256,"291/2, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",1.53,Carillon 5,1.0,Đã bàn giao,1530.0,2.0,2.0,12.0,Đã có sổ,Nội thất đầy đủ,,,, Quận Tân Phú
257,"Số 1472, Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh",1.65,Viva Riverside,68.0,Đã bàn giao,24.26,2.0,2.0,,,,,,, Quận 6
258,"Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",4.25,Docklands Sài Gòn,96.0,Đã bàn giao,44.27,2.0,,,Đã có sổ,,,,Căn góc, Quận 7
259,"Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",1.85,Dream Home Palace,62.0,Chưa bàn giao,29.84,2.0,2.0,,,,,,, Quận 8
260,"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",1.95,Toky Tower,61.0,Đã bàn giao,31.97,2.0,2.0,9.0,Đã có sổ,Nội thất đầy đủ,Đông,Tây,, Quận 12
261,"103, Hồ Học Lãm phường An Lạc, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",1.38,EHome 3,50.0,Đã bàn giao,27.6,1.0,1.0,,Đã có sổ,,,,, Quận Bình Tân
262,"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.1,Saigon Gateway,71.0,Đã bàn giao,29.58,2.0,2.0,,,,,,, Thành phố Thủ Đức
263,"30, 3, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.1,Lavita Garden,51.0,Đã bàn giao,41.18,1.0,,,,,,,, Thành phố Thủ Đức
264,"Đường 30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.85,4S Riverside Linh Đông,75.0,Đã bàn giao,24.67,2.0,2.0,,,,,,, Thành phố Thủ Đức
265,"Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",2.1,Green River - Quận 8,65.0,Đã bàn giao,32.31,2.0,2.0,,,,,,Căn góc, Quận 8
266,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.0,Saigon Riverside Complex Q7,53.0,Đã bàn giao,37.74,1.0,1.0,,,,,,, Quận 7
267,"36 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.15,Centana Thủ Thiêm,60.0,Đã bàn giao,52.5,2.0,2.0,18.0,Đã có sổ,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
268,"Số 1472, Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh",3.999,Viva Riverside,90.0,Đã bàn giao,44.43,3.0,2.0,10.0,Đang chờ sổ,Nội thất cao cấp,Bắc,Nam,Căn góc, Quận 6
269,"Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",4.05,Botanica Premier,69.0,Đã bàn giao,58.7,2.0,2.0,,,,,,, Quận Tân Bình
270,"79-81, 79-81 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",3.0,Saigonres Plaza,72.0,Đã bàn giao,41.67,2.0,,,,,,,Căn góc, Quận Bình Thạnh
271,"Đường Xa lộ Đại Hàn, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.6,Lotus Sen Hồng ( Violet Tower ),52.0,Chưa bàn giao,30.77,2.0,2.0,12.0,Đã có sổ,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
272,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.7,Saigon Riverside Complex Q7,73.0,Đã bàn giao,23.29,2.0,,,,,,,, Quận 7
273,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4.0,The Sun Avenue,72.0,Đã bàn giao,55.56,2.0,2.0,,,,,,, Thành phố Thủ Đức
274,"53-55, Bà Huyện Thanh Quan, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",1.33,Saigon Pavillon,64.0,Đã bàn giao,20.78,2.0,2.0,,,,,,, Quận 3
275,"91, Phạm Văn Hai, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh",1.26,Central Plaza - 91 Phạm Văn Hai,60.0,Đã bàn giao,21.0,2.0,2.0,6.0,Đã có sổ,Nội thất đầy đủ,,,, Quận Tân Bình
276,"Đường Võ Công Tồn, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",2.15,Chung cư Nhiêu Lộc C,62.0,Chưa bàn giao,34.68,2.0,1.0,2.0,Đã có sổ,Bàn giao thô,Đông,Bắc,, Quận Tân Phú
277,"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.2,Lavita Charm,51.0,Đã bàn giao,43.14,1.0,1.0,,,,,,, Thành phố Thủ Đức
278,"Số 1 Đường 63, Phường Bình Trưng Đông, Quận 2, Thành phố Hồ Chí Minh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.9,Thủ Thiêm Xanh,60.0,Đã bàn giao,31.67,2.0,2.0,,,,,,, Thành phố Thủ Đức
279,"Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.83,Jamona City,60.0,Chưa bàn giao,30.5,2.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 7
280,"Quốc Hương, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4.3,The Ascent Tower,74.0,Đã bàn giao,58.11,2.0,2.0,20.0,Giấy tờ khác,Nội thất đầy đủ,Đông Bắc,Tây Nam,, Thành phố Thủ Đức
281,"48/5B, Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",5.3,Chung cư Phú Đạt,110.0,Đã bàn giao,48.18,3.0,2.0,9.0,Đã có sổ,,,,Căn góc, Quận Bình Thạnh
282,"Đường Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Thành Phố Hồ Chí Minh, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",2.35,Imperial Place,56.0,Đã bàn giao,41.96,2.0,1.0,,,,,,, Quận Bình Tân
283,"67, Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2.55,Chung cư Khang Phú,78.0,Đã bàn giao,32.69,2.0,2.0,55.0,Đã có sổ,Nội thất đầy đủ,Đông Nam,Tây Bắc,, Quận Tân Phú
284,"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",3.6,Akari City,75.0,Đã bàn giao,48.0,2.0,2.0,,,,Đông,,, Quận Bình Tân
285,"Xa Lộ Đại Hàn, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.1,Lotus Sen Hồng ( Violet Tower ),40.0,Chưa bàn giao,27.5,1.0,1.0,5.0,Đã có sổ,,,,, Thành phố Thủ Đức
286,"Thới An, Phường Thới An, Quận 12, Tp Hồ Chí Minh",1.4,Hà Đô Riverside,56.12,Đã bàn giao,24.95,2.0,1.0,6.0,,,,,Căn góc, Quận 12
287,"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",2.25,Tara Residence,68.0,Đã bàn giao,33.09,2.0,2.0,,,,,,, Quận 8
288,"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.42,Opal Riverside,71.0,Đã bàn giao,48.17,2.0,,17.0,,,Tây Nam,Đông Bắc,, Thành phố Thủ Đức
289,"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.599,Topaz Elite,78.0,Đã bàn giao,33.32,2.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,,,, Quận 8
290,"Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",20.0,Vinhomes Golden River BaSon,121.0,Đã bàn giao,165.29,3.0,2.0,8.0,,Hoàn thiện cơ bản,Tây Nam,Đông Bắc,, Quận 1
291,"Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.63,An Gia Skyline,1.0,Đã bàn giao,1630.0,2.0,2.0,8.0,Đã có sổ,Nội thất đầy đủ,,,, Quận 7
292,"8, Đường Nguyễn Thị Định, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.65,Căn hộ D’Lusso,57.0,Đã bàn giao,46.49,1.0,,,,,,,, Thành phố Thủ Đức
293,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.575,Vinhomes Grand Park,59.0,Đã bàn giao,26.69,2.0,1.0,,,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
294,"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",1.95,Toky Tower,61.0,Đã bàn giao,31.97,2.0,2.0,8.0,Đã có sổ,Hoàn thiện cơ bản,Nam,Bắc,, Quận 12
295,"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",1.5,Dream Home Riverside,56.0,Chưa bàn giao,26.79,2.0,2.0,,Giấy tờ khác,Nội thất cao cấp,,,Căn góc, Quận 8
296,"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",2.39,Diamond Riverside (City Gate Towers 2),73.0,Đã bàn giao,32.74,2.0,2.0,,,,,,, Quận 8
297,"Bình Hưng Hòa A, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",3.08,Green Hills Bình Tân,104.5,Chưa bàn giao,29.47,3.0,2.0,2.0,Đang chờ sổ,Hoàn thiện cơ bản,,,, Quận Bình Tân
298,"262/13, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",1.77,Khu căn hộ IDICO Tân Phú,62.0,Đã bàn giao,28.55,2.0,2.0,,,,,,, Quận Tân Phú
299,"Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",2.9,Carillon 7,66.0,Đã bàn giao,43.94,2.0,1.0,,,,Đông Bắc,Tây Nam,, Quận Tân Phú
300,"Số 27, Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",2.0,Kim Tâm Hải Apartment,109.0,Đã bàn giao,18.35,3.0,3.0,,,,Nam,Tây,Căn góc, Quận 12
301,"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",3.0,Sunrise Riverside,70.0,Đã bàn giao,42.86,2.0,2.0,,,Bàn giao thô,Đông,,, Huyện Nhà Bè
302,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",6.3,Sunrise City,130.0,Đã bàn giao,48.46,3.0,2.0,19.0,,,,,Căn góc, Quận 7
303,"Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",2.0,Căn hộ Hoàng Quốc Việt,55.0,Đã bàn giao,36.36,2.0,1.0,,Đã có sổ,,Đông,,, Quận 7
304,"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",2.811,City Garden,70.0,Chưa bàn giao,40.16,2.0,2.0,,Đã có sổ,,,,, Quận Bình Thạnh
305,"116, Số 116 Đường Lý Chiêu Hoàng, Phường 10, Quận 6, TP Hồ Chí Minh, Phường 10, Quận 6, Tp Hồ Chí Minh",1.95,The Western Capital,50.0,Đã bàn giao,39.0,2.0,,,,,,,, Quận 6
306,"Hẻm 1 Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",3.19,Căn hộ Luxcity,82.0,Đã bàn giao,38.9,2.0,2.0,,,,,,, Quận 7
307,"586, 2-Mar, Phường 15, Quận 11, Tp Hồ Chí Minh",7.6,The Park Avenue,91.21,Chưa bàn giao,83.32,3.0,3.0,,Giấy tờ khác,Hoàn thiện cơ bản,Đông Nam,Đông Bắc,Căn góc, Quận 11
308,"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.2,LuxGarden,62.0,Đã bàn giao,35.48,2.0,2.0,,,,,,, Quận 7
309,"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",3.72,Eco Green Sài Gòn,70.0,Đã bàn giao,53.14,2.0,2.0,,,,Bắc,Nam,, Quận 7
310,"1123, Đường Quốc lộ 1A, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",1.55,An Gia Star,65.0,Đã bàn giao,23.85,2.0,2.0,,Đang chờ sổ,,Bắc,Nam,Căn góc, Quận Bình Tân
311,"Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6.614,De Capella,102.0,Chưa bàn giao,64.84,3.0,,12.0,,,,,Căn góc, Thành phố Thủ Đức
312,"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",3.0,The Pegasuite,68.0,Đã bàn giao,44.12,2.0,2.0,,,,,,Căn góc, Quận 8
313,"Quốc lộ 1A, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",1.55,An Gia Star,65.0,Đã bàn giao,23.85,2.0,2.0,,,,,,, Quận Bình Tân
314,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.3,Vinhomes Grand Park,59.0,Chưa bàn giao,55.93,2.0,2.0,,,,,,, Thành phố Thủ Đức
315,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.3,Saigon Riverside Complex Q7,66.0,Đã bàn giao,34.85,2.0,,,,,,,, Quận 7
316,"số 88, số 88 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",5.15,Celadon City,96.0,Chưa bàn giao,53.65,2.0,2.0,,Giấy tờ khác,Hoàn thiện cơ bản,Đông Nam,Tây,, Quận Tân Phú
317,"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh",4.9,Kingdom 101,73.0,Đã bàn giao,67.12,2.0,2.0,20.0,Đang chờ sổ,Nội thất cao cấp,,,Căn góc, Quận 10
318,"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.65,Topaz Elite,78.0,Đã bàn giao,33.97,2.0,2.0,10.0,,Hoàn thiện cơ bản,Đông Nam,,, Quận 8
319,"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",1.54,City Garden,1.0,Đã bàn giao,1540.0,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Bình Thạnh
320,"Số 01, Đồng Văn Cống, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5.85,Feliz En Vista,85.0,Đã bàn giao,68.82,2.0,,,,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
321,"86, Tản Đà, Phường 11, Quận 5, Tp Hồ Chí Minh",3.12,Tản Đà Court,105.0,Đã bàn giao,29.71,3.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 5
322,"49, Đường Lê Quang Kim, Phường 8, Quận 8, Tp Hồ Chí Minh",3.35,Diamond Lotus Riverside,58.0,Đã bàn giao,57.76,2.0,1.0,,,,,,Căn góc, Quận 8
323,"Số 243, Số 243 Số 243 Đường Tân Hòa Đông, Phường 14, Quận 6, Thành phố Hồ Chí Minh, Phường 14, Quận 6, Tp Hồ Chí Minh",2.45,Summer Square,63.0,Đã bàn giao,38.89,2.0,2.0,5.0,Đã có sổ,Hoàn thiện cơ bản,Đông,Tây,, Quận 6
324,"27, Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2.65,Carillon 2,70.0,Đã bàn giao,37.86,2.0,2.0,,,,,,, Quận Tân Phú
325,"Lô A1, Lô A1 Số 10 Đường D1, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",3.6,Florita,80.0,Đã bàn giao,45.0,2.0,2.0,,,,,,, Quận 7
326,"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh",2.205,Căn hộ DE LA SOL (Delasol),60.0,Chưa bàn giao,36.75,1.0,1.0,,Đã có sổ,,,,, Quận 4
327,"Đường Xa lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.85,Saigon Gateway,65.0,Đã bàn giao,28.46,2.0,2.0,,,,,,, Thành phố Thủ Đức
328,"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",2.7,Diamond Riverside (City Gate Towers 2),73.0,Đã bàn giao,36.99,2.0,2.0,9.0,Đang chờ sổ,Nội thất đầy đủ,Đông,Tây,, Quận 8
329,"Lê Thị Riêng, Phường Thới An, Quận 12, Tp Hồ Chí Minh",2.05,Phú An Center,70.0,Đã bàn giao,29.29,2.0,2.0,,,,,,Căn góc, Quận 12
330,"Liên Phường, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.65,Căn hộ HausNeo,79.0,Đã bàn giao,33.54,3.0,2.0,3.0,,Nội thất đầy đủ,,,Căn góc, Thành phố Thủ Đức
331,"30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.75,4S Riverside Linh Đông,72.0,Đã bàn giao,24.31,4.0,4.0,,,,,,, Thành phố Thủ Đức
332,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.7,Saigon Riverside Complex Q7,65.0,Đã bàn giao,41.54,2.0,2.0,31.0,,,Nam,,, Quận 7
333,"12, 12 Đường Quốc Hương, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6.6,Thảo Điền Pearl,132.0,Đã bàn giao,50.0,3.0,2.0,6.0,Đã có sổ,Nội thất đầy đủ,Đông Nam,Tây,Căn góc, Thành phố Thủ Đức
334,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.1,Saigon Riverside Complex Q7,60.0,Đã bàn giao,35.0,2.0,2.0,,,,,,, Quận 7
335,"10, Mai Chí Thọ, Phường An Lợi Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6.0,Sadora Apartment,88.0,Đã bàn giao,68.18,2.0,2.0,,Đang chờ sổ,,,,, Thành phố Thủ Đức
336,"33, Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",2.6,Chung cư Phúc Yên,80.0,Đã bàn giao,32.5,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Tân Bình
337,"Lô 13E, 7, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",2.45,Terra Rosa,127.0,Đã bàn giao,19.29,3.0,,4.0,Đã có sổ,,Đông Bắc,Tây Bắc,Căn góc, Huyện Bình Chánh
338,"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",5.0,Vinhomes Central Park,75.0,Đã bàn giao,66.67,2.0,,,,,,,, Quận Bình Thạnh
339,"13E, Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",1.45,Sài Gòn Intela,55.0,Đã bàn giao,26.36,2.0,2.0,,,,,,, Huyện Bình Chánh
340,"53-55, Bà Huyện Thanh Quan, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",1.45,Saigon Pavillon,1.0,Đã bàn giao,1450.0,3.0,1.0,8.0,Đã có sổ,Nội thất đầy đủ,,,, Quận 3
341,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",1.36,Osimi Tower,74.0,Đã bàn giao,18.38,2.0,2.0,9.0,Đã có sổ,Nội thất đầy đủ,,,, Quận Gò Vấp
342,"68, Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",7.26,Celadon City,87.0,Chưa bàn giao,83.45,3.0,,,,Nội thất cao cấp,,,, Quận Tân Phú
343,"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",5.1,Golden Mansion,86.0,Đã bàn giao,59.3,3.0,2.0,,Đang chờ sổ,Nội thất cao cấp,,,Căn góc, Quận Phú Nhuận
344,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.95,Vinhomes Grand Park,68.0,Đã bàn giao,43.38,1.0,1.0,,Đang chờ sổ,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
345,"Lô A1 Khu đô thị Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",3.2,Florita,69.0,Đã bàn giao,46.38,2.0,2.0,,Đang chờ sổ,,,,, Quận 7
346,"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.7,Sunview Town,62.0,Đã bàn giao,27.42,2.0,2.0,,,,,,Căn góc, Thành phố Thủ Đức
